Compute Correlation 
 
0		449.608		-427.622
1		652.876		-180.433
2		721.402		135.422
3		635.728		450.806
4		410.757		692.835
5		95.4518		802.026
6		-236.445		748.484
7		-503.721		542.033
8		-638.979		232.117
9		-607.628		-103.815
10		-418.319		-380.764
11		-121.02		-529.479
12		206.978		-515.292
13		482.694		-346.659
14		639.844		-71.1322
15		645.247		239.258
16		505.019		508.013
17		260.016		673.397
18		-26.7633		701.889
19		-286.406		593.492
20		-459.635		379.166
21		-508.737		112.346
22		-424.452		-143.015
23		-227.484		-325.744
24		35.3887		-390.326
25		300.41		-317.494
26		500.392		-120.336
27		580.691		156.371
28		514.097		444.872
29		310.22		670.409
30		15.6179		770.932
31		-296.717		715.012
32		-546.385		512.096
33		-667.769		211.246
34		-628.515		-111.809
35		-438.421		-375.471
36		-146.094		-514.392
37		175.143		-496.155
38		447.181		-327.964
39		606.625		-52.4196
40		618.614		265.052
41		482.315		552.56
42		228.388		747.309
43		-89.3144		807.282
44		-405.012		717.881
45		-653.072		493.747
46		-779.603		176.306
47		-752.703		-172.678
48		-570.1		-481.497
49		-262.288		-682.237
50		110.822		-725.901
51		470.709		-595.484
52		737.238		-312.906
53		848.126		63.379
54		775.471		450.723
55		534.163		761.958
56		179.144		927.098
57		-208.017		910.816
58		-539.435		720.746
59		-742.262		404.567
60		-775.346		37.2928
61		-637.312		-297.227
62		-364.962		-525.562
63		-23.4291		-600.295
64		308.95		-509.165
65		557.659		-276.65
66		667.81		41.7365
67		616.099		371.35
68		416.649		634.68
69		119.031		769.259
70		-202.201		743.508
71		-465.209		566.313
72		-602.187		286.722
73		-578.666		-17.6007
74		-404.699		-261.167
75		-133.496		-375.208
76		153.176		-328.444
77		368.996		-137.083
78		449.087		139.753
79		369.517		418.026
80		153.911		614.392
81		-134.769		670.981
82		-414.08		571.413
83		-606.61		343.528
84		-661.207		49.0732
85		-564.884		-235.169
86		-343.187		-438.212
87		-50.7676		-511.621
88		243.587		-438.631
89		472.762		-235.151
90		584.534		55.6204
91		550.686		372.463
92		371.87		647.353
93		78.4		817.532
94		-273.293		837.692
95		-609.199		690.923
96		-851.424		396.033
97		-935.58		8.18689
98		-828.295		-389.406
99		-539.723		-702.788
100		-126.135		-850.311
101		320.053		-785.459
102		691.63		-512.363
103		894.11		-88.4433
104		871.666		387.788
105		623.643		801.052
106		206.44		1049.16
107		-280.129		1069.95
108		-718.239		857.695
109		-1002.19		464.64
110		-1065.09		-12.6055
111		-895.222		-457.777
112		-538.181		-764.174
113		-84.6714		-860.927
114		352.615		-729.905
115		667.175		-409.344
116		784.964		16.4858
117		682.347		438.935
118		391.282		752.567
119		-9.61017		881.758
120		-415.883		799.45
121		-724.587		533.121
122		-860.806		156.368
123		-796.218		-231.499
124		-554.761		-532.069
125		-204.251		-673.128
126		163.104		-625.786
127		455.268		-409.281
128		603.035		-83.1821
129		575.046		269.652
130		382.337		563.947
131		72.8527		731.164
132		-281.208		732.988
133		-599.421		567.478
134		-809.198		268.144
135		-859.635		-102.826
136		-731.733		-465.898
137		-443.846		-738.966
138		-50.921		-854.111
139		363.773		-773.929
140		704.704		-503.708
141		885.922		-95.1832
142		854.013		361.282
143		605.568		756.335
144		192.76		989.241
145		-286.527		996.068
146		-712.822		769.607
147		-977.148		363.981
148		-1011.49		-118.535
149		-808.097		-555.086
150		-421.375		-835.892
